state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
FL,12,Florida,12041,Gilchrist County,18256,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.30941009406116388,D,2,-0.30632368703108254,F,1,-0.95936745833398,A,5
FL,12,Florida,12086,Miami-Dade County,2761581,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.536649592521552,C,3,-0.7547011362662196,A,5,2.0863303944423088,F,1
FL,12,Florida,12097,Osceola County,367990,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.54430532490781591,C,3,-0.7687294800278538,A,5,-0.10687367535247838,F,1
FL,12,Florida,12019,Clay County,216072,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,F,1.3,-0.37130551152089741,D,2,-0.53840132182414124,F,1,1.392609355334935,F,1
WA,53,Washington,53007,Chelan County,77036,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B-,3.7,-0.3420894100418822,D,2,-0.6768095806508424,B,4,-0.97502635333432242,A,5
FL,12,Florida,12031,Duval County,950181,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.44997590812861249,C,3,-0.65217997644071968,B,4,3.6639054634751709,F,1
FL,12,Florida,12003,Baker County,28355,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,D-,1.7,-0.16644813961016094,F,1,-0.36481983382947525,F,1,-0.81015937703977492,C,3
FL,12,Florida,12071,Lee County,754610,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.48518311814796877,C,3,-0.67887159560764887,B,4,2.30674032947666,F,1
WA,53,Washington,53007,Chelan County,77036,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C+,3.3,-0.36815629829314511,D,2,-0.64246566073482647,C,3,-0.97328743946533069,A,5
FL,12,Florida,12047,Hamilton County,14310,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.065217939122680743,F,1,,,,-0.97587520105612524,A,5
WA,53,Washington,53051,Pend Oreille County,13602,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B-,3.5,-0.26199829637325428,D,2,,,,-0.9957227479552051,A,5
